,logmove
0,9.018695488
1,7.655390645
2,8.489616424
3,8.269756948
4,8.565602331
5,7.560080465
6,8.723231275
7,7.624618986
8,7.592870288
9,8.30201781
10,8.929567708
11,8.476371197
12,9.135616826
13,8.877381955
14,9.727227587
15,8.378390789
16,8.489616424
17,8.540909718
18,9.651944527
19,7.416979621
20,8.903815212
21,8.253227646
22,8.253227646
23,9.071537969
24,8.850230966
25,8.647519453
26,7.714231145
27,8.449342525
28,9.329367078
29,9.790094865
30,8.841014311
31,7.592870288
32,8.68067166
33,8.589699882
34,8.733594062
35,8.553332238
36,8.987196821
37,8.877381955
38,9.114710141
39,8.219326094
40,8.971067439
41,8.435549202
42,8.392989588
43,8.070906089
44,8.577723691
45,9.100525506
46,8.577723691
47,8.166216269
48,8.009030685
49,8.050703382
50,8.723231275
51,9.373818841
52,7.847762538
53,8.647519453
54,8.378390789
55,8.363575703
56,8.333270353
57,8.66974259
58,9.018695488
59,8.050703382
60,8.476371197
61,7.82244473
62,8.528330936
63,8.502688505
64,8.886270902
65,8.30201781
66,8.886270902
67,7.82244473
68,8.764053269
69,9.169518378
70,9.056722883
71,8.449342525
72,8.987196821
73,9.570529135
74,8.712759975
75,9.093357017
76,7.491087594
77,8.348537825
78,9.221478116
79,8.090708716
80,8.764053269
81,9.100525506
82,9.240287448
83,7.592870288
84,9.162829389
85,8.219326094
86,9.100525506
87,8.528330936
88,8.476371197
89,8.51559191
90,8.850230966
91,8.184234774
92,7.98752448
93,8.317766167
94,8.166216269
95,8.236420527
96,7.416979621
97,8.7740036
98,7.796469243
99,8.348537825
100,8.783855897
101,9.056722883
102,8.030084094
103,8.743850562
104,7.560080465
105,8.236420527
106,8.166216269
107,8.68067166
108,8.030084094
109,9.472089062
110,8.476371197
111,8.946374826
112,8.754002934
113,8.553332238
114,8.636219898
115,7.796469243
116,7.82244473
117,7.896552702
118,9.317938383
119,8.938006577
120,9.77201119
121,8.489616424
122,8.565602331
123,9.270870872
124,8.61323038
125,8.184234774
126,9.329367078
127,8.987196821
128,8.253227646
129,8.333270353
130,8.565602331
131,8.577723691
132,8.201934351
133,9.17616292
